experiment,model,fold,R2,RMSE,MAE
Exp2_without_Ts_Fs,LightGBM,4,0.028968658582475548,6.2616195738285665,5.341543830491385
Exp2_without_Ts_Fs,LightGBM,5,0.05719687287057995,7.938935432786057,6.464446885860911
Exp2_without_Ts_Fs,CatBoost,1,0.1615736727684045,6.371848412252308,3.8923426040532934
Exp2_without_Ts_Fs,CatBoost,2,0.5510643690880133,5.168943945676785,4.485141924224737
Exp2_without_Ts_Fs,CatBoost,3,-0.34790990753693873,6.291150799967519,5.706520877474209
Exp2_without_Ts_Fs,CatBoost,4,0.6247844280596184,3.8923374207788415,3.1753743311577827
Exp2_without_Ts_Fs,CatBoost,5,0.34138216811350175,6.635421339624445,5.793760387818054
Exp3_without_Ts_Fs_DesignFc,LinearRegression,1,-0.9833107670325936,9.800051694435396,9.167153571170191
Exp3_without_Ts_Fs_DesignFc,LinearRegression,2,0.06466273174241521,7.46094612868607,6.681857940497139
Exp3_without_Ts_Fs_DesignFc,LinearRegression,3,-0.5421163189815186,6.7291193187887135,5.693212935115662
Exp3_without_Ts_Fs_DesignFc,LinearRegression,4,0.7752753646074239,3.0122804060299817,2.231700288868836
Exp3_without_Ts_Fs_DesignFc,LinearRegression,5,0.6170533115636211,5.059655197769581,3.750682770068942
Exp3_without_Ts_Fs_DesignFc,RandomForest,1,0.175615197545257,6.318266937292873,5.208690734166641
Exp3_without_Ts_Fs_DesignFc,RandomForest,2,-0.17248506085279458,8.35340318650762,6.664501798333356
Exp3_without_Ts_Fs_DesignFc,RandomForest,3,-0.9116767946434046,7.492157471236145,6.746639171111089
Exp3_without_Ts_Fs_DesignFc,RandomForest,4,-0.0896633534865765,6.633095151778042,5.4155225635416855
Exp3_without_Ts_Fs_DesignFc,RandomForest,5,-0.32770754453882533,9.421129515354863,7.694434855902773
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,1,0.2215570335876712,6.1396891174796915,4.220114695911436
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,2,0.39794302787192926,5.985887904958356,5.227787835511781
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,3,0.04015602109016825,5.308844260404275,4.5058411020247195
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,4,0.8497862409961101,2.462775994432266,2.090600478811742
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,5,0.4374247510772772,6.132563773341087,5.670794218231113
Exp3_without_Ts_Fs_DesignFc,XGBoost,1,0.6368730628590348,4.193360645426255,3.095863386388779
Exp3_without_Ts_Fs_DesignFc,XGBoost,2,0.26616226671102683,6.6086051457715795,5.573693397535323
Exp3_without_Ts_Fs_DesignFc,XGBoost,3,-0.7421496535825047,7.152245153546242,6.517278304694282
Exp3_without_Ts_Fs_DesignFc,XGBoost,4,0.17076366332761672,5.786410188848603,4.928692319501241
Exp3_without_Ts_Fs_DesignFc,XGBoost,5,-0.06796051694596938,8.449467914449352,6.971604232842128
Exp3_without_Ts_Fs_DesignFc,LightGBM,1,0.7184935826925922,3.692131253371952,2.9154480268223164
Exp3_without_Ts_Fs_DesignFc,LightGBM,2,0.396977859654415,5.990684025111703,5.3608399268730516
Exp3_without_Ts_Fs_DesignFc,LightGBM,3,-0.7710407680156648,7.211306288132439,6.549466585924282
Exp3_without_Ts_Fs_DesignFc,LightGBM,4,0.07519107988337403,6.110771713483202,5.238090924820484
Exp3_without_Ts_Fs_DesignFc,LightGBM,5,-0.0640659874948255,8.434047514470583,6.828518700282854
Exp3_without_Ts_Fs_DesignFc,CatBoost,1,0.07759389497844094,6.683347858775294,4.246372305466185
Exp3_without_Ts_Fs_DesignFc,CatBoost,2,0.5139814177944062,5.378191002140016,4.780825530199494
Exp3_without_Ts_Fs_DesignFc,CatBoost,3,-0.360605683769297,6.3207090995724355,5.715601356173994
Exp3_without_Ts_Fs_DesignFc,CatBoost,4,0.5927506569040515,4.0550876966414515,3.4168965768618316
Exp3_without_Ts_Fs_DesignFc,CatBoost,5,0.39479772793574086,6.360657890544675,5.566355732351095
