experiment,model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Exp1_with_Ts_Fs,LinearRegression,0.9074601151261762,0.00274719305676377,2.9154547660059293,0.05678078987127296,2.315504330055417,0.05538299406622281
Exp1_with_Ts_Fs,RandomForest,0.9951875930530173,0.0002797334625731939,0.6648252225369127,0.025981043948339267,0.39229990776772244,0.010662630975393316
Exp1_with_Ts_Fs,SVR_RBF,0.9788720721012002,0.0022748288817562904,1.3909657536171163,0.07345070925846599,0.8732296770257907,0.019311008495333765
Exp1_with_Ts_Fs,XGBoost,0.9950185001691173,0.0002723456732991796,0.6761681854507352,0.018026942984316025,0.4461218275663971,0.009255663635769407
Exp1_with_Ts_Fs,LightGBM,0.995081583361088,0.0002859295033553711,0.67209943424301,0.025998814662769803,0.45203981592710196,0.01255808469777313
Exp1_with_Ts_Fs,CatBoost,0.9931295763882992,0.0003202912382521832,0.7941995249838488,0.018958651772620395,0.5712884958151082,0.01139275129417016
Exp2_without_Ts_Fs,LinearRegression,0.9004447085353791,0.0029312589313728295,3.0237791946139274,0.049269637564755026,2.420023575149739,0.050091825388909855
Exp2_without_Ts_Fs,RandomForest,0.9948101212687105,0.00047405851358046046,0.6898054405281157,0.03215747341948646,0.4195935228506789,0.015065990387718926
Exp2_without_Ts_Fs,SVR_RBF,0.9726594713342684,0.0026160272775703946,1.5828112304656494,0.07443878345355455,1.023589631598956,0.02715435818782603
Exp2_without_Ts_Fs,XGBoost,0.9948098646414024,0.000338681351400264,0.6899567266407456,0.017008928898811074,0.45409138820699974,0.011147057417365942
Exp2_without_Ts_Fs,LightGBM,0.9948319168091299,0.00019501616566513784,0.6889970686938264,0.018001911956479624,0.4643355456025068,0.01084001947015671
Exp2_without_Ts_Fs,CatBoost,0.9934755240783522,0.00020419521638607695,0.7740264052155809,0.009814304508027982,0.5529995406598778,0.016113797522624755
Exp3_without_Ts_Fs_DesignFc,LinearRegression,0.9004447085353791,0.0029312589313728534,3.023779194613927,0.04926963756475527,2.420023575149737,0.050091825388909876
Exp3_without_Ts_Fs_DesignFc,RandomForest,0.9948121428211817,0.00046992598471726844,0.6896827976383941,0.0319495326172931,0.41941536825037706,0.01494401927680498
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,0.9753604068529663,0.0025693095146007735,1.5021143664221976,0.07506142902781521,0.9728178981092832,0.025673127177290707
Exp3_without_Ts_Fs_DesignFc,XGBoost,0.9948012285645824,0.0003228252561875261,0.6905840696656477,0.016266142032322115,0.45517231292068694,0.010171039140680427
Exp3_without_Ts_Fs_DesignFc,LightGBM,0.9948195533922851,0.00025838676119487036,0.689737502533364,0.021452992010886466,0.4640666391353749,0.014135360627592644
Exp3_without_Ts_Fs_DesignFc,CatBoost,0.9935258539644465,0.00026719242150286194,0.7709028438023193,0.009454360354900293,0.5493158621332089,0.007459341233681318
