experiment,model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Exp2_without_Ts_Fs,LinearRegression,0.018592828457217304,0.6519615723245296,6.32944672142981,2.2666895280982464,5.456830416652508,2.3801392036009554
Exp2_without_Ts_Fs,RandomForest,-0.2488653219914157,0.3694015560320339,7.589241771182178,1.1758834115729848,6.311196599726848,0.9458223296292072
Exp2_without_Ts_Fs,SVR_RBF,0.4084477046690491,0.29022537016541955,5.07971019698936,1.256884999046143,4.238517785985989,1.1188244476871059
Exp2_without_Ts_Fs,XGBoost,0.14113236712707958,0.5047871012026295,6.02366408035018,1.5975129390241973,5.146865248722755,1.4878879845980117
Exp2_without_Ts_Fs,LightGBM,0.0902708413912809,0.4271136765469397,6.2899925355530035,1.3266917261566347,5.365601083243904,1.213161173652985
Exp2_without_Ts_Fs,CatBoost,0.26617894609851983,0.34740768670070293,5.6719403836599795,1.0219178501990327,4.6106280249456155,1.0190600772448686
Exp3_without_Ts_Fs_DesignFc,LinearRegression,-0.013687135620130419,0.6702001833207861,6.412410549141947,2.2832729081908445,5.504921501144154,2.3926515588862745
Exp3_without_Ts_Fs_DesignFc,RandomForest,-0.26518351119526884,0.36209574710962655,7.643610452433909,1.1370131358863826,6.3459578246111095,0.9208140223300607
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,0.38937341492463123,0.26999165379130274,5.205952210123135,1.4053025164476323,4.343027666098158,1.2378052045074934
Exp3_without_Ts_Fs_DesignFc,XGBoost,0.05273776447384084,0.4576261050895089,6.438017809608406,1.417619874190462,5.4174263281923505,1.3622098333578976
Exp3_without_Ts_Fs_DesignFc,LightGBM,0.07111115334397822,0.5005601829883365,6.287788158913976,1.5694811509459279,5.378472832944597,1.3827775368424957
Exp3_without_Ts_Fs_DesignFc,CatBoost,0.24370360276866848,0.349426824034406,5.7595987095347745,0.9571059640334334,4.74521030021052,0.8521107626903219
