target,model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Ts_(Mpa),KNN,0.9969287407830801,0.0001454771675805883,0.04844400131882234,0.001390782634902444,0.028272289017341034,0.0010145921307701054
Ts_(Mpa),RandomForest,0.9969636202334368,0.00027310350358135957,0.048085050941662835,0.0011051787085514559,0.02769701136801586,0.0006639281288434414
Fs_(Mpa),KNN,0.9996181032258328,5.9538754118100544e-05,0.045905176936808,0.002555078666355151,0.023520784090909113,0.0017363076451586518
Fs_(Mpa),RandomForest,0.9986356670891541,0.0018749260281522814,0.07390257213706466,0.05142942967552698,0.028345520643939394,0.009739530129204045
