experiment,model,fold,R2,RMSE,MAE
Exp1_with_Ts_Fs,LinearRegression,1,0.9122861719126069,2.8880580093584958,2.29746541573531
Exp1_with_Ts_Fs,LinearRegression,2,0.9045662180638165,2.996492115486386,2.390069239072385
Exp1_with_Ts_Fs,LinearRegression,3,0.9078388745695625,2.8253248949444156,2.223744777023249
Exp1_with_Ts_Fs,LinearRegression,4,0.9050286751885523,2.9363002545995482,2.3474482632145732
Exp1_with_Ts_Fs,LinearRegression,5,0.9075806358963425,2.9310985556408005,2.3187939552315657
Exp1_with_Ts_Fs,RandomForest,1,0.9954503498808788,0.6577500341185808,0.38784068325792015
Exp1_with_Ts_Fs,RandomForest,2,0.9949710231088401,0.6878629088088232,0.39701194004524853
Exp1_with_Ts_Fs,RandomForest,3,0.9955247287524911,0.622592942035939,0.3762064641779777
Exp1_with_Ts_Fs,RandomForest,4,0.9952059100673037,0.6597164343136247,0.39179678318250327
Exp1_with_Ts_Fs,RandomForest,5,0.9947859534555731,0.6962037934075958,0.4086436681749625
Exp1_with_Ts_Fs,SVR_RBF,1,0.9816351209322527,1.3214961919082762,0.8457625896489601
Exp1_with_Ts_Fs,SVR_RBF,2,0.9755056002257517,1.5180828456360302,0.899046198418697
Exp1_with_Ts_Fs,SVR_RBF,3,0.9783097335644666,1.3706512132451387,0.865575300674615
Exp1_with_Ts_Fs,SVR_RBF,4,0.9777358054557551,1.421699166270003,0.8909542774476403
Exp1_with_Ts_Fs,SVR_RBF,5,0.9811741003277756,1.322899351026133,0.8648100189390417
Exp1_with_Ts_Fs,XGBoost,1,0.995057129935176,0.6855852677054055,0.44887278756793264
Exp1_with_Ts_Fs,XGBoost,2,0.9955185012523708,0.6493423248708013,0.4371001395022707
Exp1_with_Ts_Fs,XGBoost,3,0.9949617940681392,0.6605907207421382,0.43564801156056954
Exp1_with_Ts_Fs,XGBoost,4,0.9947739202455846,0.688798561100955,0.44780503350426154
Exp1_with_Ts_Fs,XGBoost,5,0.9947811553443158,0.6965240528343761,0.4611831656969511
Exp1_with_Ts_Fs,LightGBM,1,0.9948867913490675,0.6972983492184808,0.4585762410452025
Exp1_with_Ts_Fs,LightGBM,2,0.9953555934159348,0.6610391600858477,0.4450457110595187
Exp1_with_Ts_Fs,LightGBM,3,0.9952789227449401,0.6394624762013059,0.43721312250986727
Exp1_with_Ts_Fs,LightGBM,4,0.995273886051337,0.6550226366640198,0.44626096993244097
Exp1_with_Ts_Fs,LightGBM,5,0.9946127232441608,0.7076745490453956,0.4731030350884802
Exp1_with_Ts_Fs,CatBoost,1,0.9927984718414191,0.827530884415764,0.5788877980347422
Exp1_with_Ts_Fs,CatBoost,2,0.993648778866632,0.7730199262249675,0.5546197522937343
Exp1_with_Ts_Fs,CatBoost,3,0.9929198698177959,0.7830962297037867,0.5627112265299133
Exp1_with_Ts_Fs,CatBoost,4,0.9929288143592708,0.8012173296147137,0.5865966317443078
Exp1_with_Ts_Fs,CatBoost,5,0.9933519470563786,0.786133254960012,0.5736270704728436
Exp2_without_Ts_Fs,LinearRegression,1,0.9057407819987561,2.993875909935683,2.3849479941223035
Exp2_without_Ts_Fs,LinearRegression,2,0.8976294756754553,3.103484178797279,2.5030152477508514
Exp2_without_Ts_Fs,LinearRegression,3,0.8991537574099289,2.955455143603571,2.3570107105282148
Exp2_without_Ts_Fs,LinearRegression,4,0.8983310486921772,3.038074270022252,2.4406766051709714
Exp2_without_Ts_Fs,LinearRegression,5,0.9013684789005774,3.0280064707108534,2.4144673181763547
Exp2_without_Ts_Fs,RandomForest,1,0.99536865167166,0.6636293766193276,0.4087548137254919
Exp2_without_Ts_Fs,RandomForest,2,0.9947183364447534,0.7049323454331416,0.4409809924585177
Exp2_without_Ts_Fs,RandomForest,3,0.9951674484634991,0.6469679377665524,0.3988443797134241
Exp2_without_Ts_Fs,RandomForest,4,0.9939881787863641,0.7387665836194198,0.41847004901960677
Exp2_without_Ts_Fs,RandomForest,5,0.9948079909772758,0.6947309592021369,0.43091737933635393
Exp2_without_Ts_Fs,SVR_RBF,1,0.9761397501335993,1.506292706407308,0.9763326418519931
Exp2_without_Ts_Fs,SVR_RBF,2,0.969420857930532,1.696190866122486,1.05299090259366
Exp2_without_Ts_Fs,SVR_RBF,3,0.97256046361,1.5416397372462538,1.0182657704162914
Exp2_without_Ts_Fs,SVR_RBF,4,0.9701801289863954,1.6453454513929715,1.0472655306599838
Exp2_without_Ts_Fs,SVR_RBF,5,0.9749961560108149,1.5245873911592274,1.0230933124728534
Exp2_without_Ts_Fs,XGBoost,1,0.9951529382788528,0.6789083568106697,0.44335808961618
Exp2_without_Ts_Fs,XGBoost,2,0.9949898823531511,0.6865719146411731,0.4623231595906736
Exp2_without_Ts_Fs,XGBoost,3,0.9943219835481538,0.7012822306553822,0.4463275646675766
Exp2_without_Ts_Fs,XGBoost,4,0.9950962097967497,0.6672216893766069,0.4464695934295654
Exp2_without_Ts_Fs,XGBoost,5,0.9944883092301051,0.715799441719896,0.4719785337310031
Exp2_without_Ts_Fs,LightGBM,1,0.9949144124727817,0.6954124253080414,0.4603258450964691
Exp2_without_Ts_Fs,LightGBM,2,0.9948743579325119,0.6944423684194998,0.46941003295937717
Exp2_without_Ts_Fs,LightGBM,3,0.9948323551460165,0.6690226805343366,0.44788156490628084
Exp2_without_Ts_Fs,LightGBM,4,0.9950639240790636,0.6694145228460548,0.46318268904619603
Exp2_without_Ts_Fs,LightGBM,5,0.9944745344152756,0.7166933463611991,0.480877596004211
Exp2_without_Ts_Fs,CatBoost,1,0.9935045148247843,0.7859187996857343,0.5533526433028217
Exp2_without_Ts_Fs,CatBoost,2,0.9938440303115958,0.7610449496095666,0.5330717774248006
Exp2_without_Ts_Fs,CatBoost,3,0.993230977267687,0.7656979736007385,0.541258996692048
Exp2_without_Ts_Fs,CatBoost,4,0.9934121085679202,0.7733523887790043,0.5569765921610157
Exp2_without_Ts_Fs,CatBoost,5,0.9933859894197734,0.7841179144028608,0.5803376937187028
Exp3_without_Ts_Fs_DesignFc,LinearRegression,1,0.9057407819987562,2.9938759099356824,2.3849479941222986
Exp3_without_Ts_Fs_DesignFc,LinearRegression,2,0.8976294756754553,3.103484178797279,2.5030152477508514
Exp3_without_Ts_Fs_DesignFc,LinearRegression,3,0.8991537574099289,2.9554551436035696,2.357010710528215
Exp3_without_Ts_Fs_DesignFc,LinearRegression,4,0.8983310486921773,3.038074270022249,2.4406766051709647
Exp3_without_Ts_Fs_DesignFc,LinearRegression,5,0.9013684789005774,3.0280064707108534,2.4144673181763547
Exp3_without_Ts_Fs_DesignFc,RandomForest,1,0.995371385521285,0.6634334800240717,0.40857268514328987
Exp3_without_Ts_Fs_DesignFc,RandomForest,2,0.9947264381054983,0.7043914822716687,0.4408079110105548
Exp3_without_Ts_Fs_DesignFc,RandomForest,3,0.9951692729493491,0.6468457978089391,0.39915352978883817
Exp3_without_Ts_Fs_DesignFc,RandomForest,4,0.994002152094747,0.7379075245781697,0.41780179298642356
Exp3_without_Ts_Fs_DesignFc,RandomForest,5,0.9947914654350286,0.6958357035091216,0.4307409223227794
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,1,0.9789012740508792,1.4164459112960248,0.9258446030346157
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,2,0.9721865284484441,1.6176690310678472,0.9961291989333886
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,3,0.9746627409468762,1.4814067778340245,0.9725670876527441
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,4,0.9733060493855112,1.5567204871450155,0.9961687306517003
Exp3_without_Ts_Fs_DesignFc,SVR_RBF,5,0.9777454414331209,1.4383296247680757,0.9733798702739666
Exp3_without_Ts_Fs_DesignFc,XGBoost,1,0.9950205168894614,0.6881197317715226,0.44641325766619516
Exp3_without_Ts_Fs_DesignFc,XGBoost,2,0.9950297054322511,0.6838378515300958,0.45962721992596245
Exp3_without_Ts_Fs_DesignFc,XGBoost,3,0.994306605350014,0.7022312561618589,0.4498849264705883
Exp3_without_Ts_Fs_DesignFc,XGBoost,4,0.9951204968226265,0.6655673624132045,0.4468013092878177
Exp3_without_Ts_Fs_DesignFc,XGBoost,5,0.994528818328559,0.7131641464515566,0.47313485125287086
Exp3_without_Ts_Fs_DesignFc,LightGBM,1,0.9949534630076514,0.6927373598372321,0.45746333029926856
Exp3_without_Ts_Fs_DesignFc,LightGBM,2,0.9948193138128955,0.6981612090501937,0.4717921749591275
Exp3_without_Ts_Fs_DesignFc,LightGBM,3,0.9948128255203419,0.670285677662345,0.4464360737981813
Exp3_without_Ts_Fs_DesignFc,LightGBM,4,0.9951483732281802,0.6636634594913925,0.4573432407945141
Exp3_without_Ts_Fs_DesignFc,LightGBM,5,0.9943637913923563,0.7238398066256562,0.487298375825783
Exp3_without_Ts_Fs_DesignFc,CatBoost,1,0.993493965736966,0.7865567322476673,0.5460537809845388
Exp3_without_Ts_Fs_DesignFc,CatBoost,2,0.99381223640807,0.7630077133294556,0.5387937034029793
Exp3_without_Ts_Fs_DesignFc,CatBoost,3,0.9930329854015284,0.776815480592192,0.5501522245505517
Exp3_without_Ts_Fs_DesignFc,CatBoost,4,0.9936090091897735,0.761707639187039,0.5497761250760459
Exp3_without_Ts_Fs_DesignFc,CatBoost,5,0.9936810730858944,0.766426653655243,0.5618034766519288
